,RWT_disc_concl_reestablishing_territory ( 226854 ),RWT_disc_concl_framing_principal_findings ( 71334 ),RWT_disc_concl_reshaping_the_territory ( 5106 ),RWT_disc_concl_establishing_additional_territory ( 38573 ),RWT_introductions_establishing_territory ( 19787 ),RWT_introductions_identifying_niche ( 8114 ),RWT_introductions_addressing_niche ( 6436 )
AWA3_Background ( 7982 ),1618#1739#225236#147610,507#2850#70827#302019,638#2719#4468#368378,233#3124#38340#334506,201#3156#19586#353260,85#3272#8029#364817,75#3282#6361#366485
AWA3_Contrast ( 59106 ),12760#18478#214094#130871,8032#23206#63302#281663,816#30422#4290#340675,5217#26021#33356#311609,1665#29573#18122#326843,1790#29448#6324#338641,958#30280#5478#339487
AWA3_Emphasis ( 28246 ),6426#8256#220428#141093,2712#11970#68622#292899,204#14478#4902#356619,2998#11684#35575#325946,1110#13572#18677#342844,619#14063#7495#354026,613#14069#5823#355698
AWA3_Novelty ( 8059 ),1455#2090#225399#147259,461#3084#70873#301785,45#3500#5061#367597,1065#2480#37508#335150,271#3274#19516#353142,107#3438#8007#364651,141#3404#6295#366363
AWA3_Position ( 11007 ),2275#3719#224579#145630,1295#4699#70039#300170,82#5912#5024#365185,1471#4523#37102#333107,419#5575#19368#350841,286#5708#7828#362381,166#5828#6270#363939
AWA3_Question ( 837 ),202#195#226652#149154,70#327#71264#304542,11#386#5095#370711,33#364#38540#337266,13#384#19774#356032,65#332#8049#367757,3#394#6433#369373
AWA3_Surprise ( 346 ),61#118#226793#149231,81#98#71253#304771,4#175#5102#370922,14#165#38559#337465,8#171#19779#356245,5#174#8109#367915,6#173#6430#369594
AWA3_Trend ( 3356 ),766#887#226088#148462,298#1355#71036#303514,34#1619#5072#369478,280#1373#38293#336257,148#1505#19639#354911,63#1590#8051#366499,64#1589#6372#368178
AWA3_Summary ( 36941 ),6522#8523#220332#140826,3281#11764#68053#293105,876#14169#4230#356928,1966#13079#36607#324551,698#14347#19089#342069,204#14841#7910#353248,1498#13547#4938#356220
,,,,,,,
,376203,376203,,376203,376203,,
,,,,,,,
,,,341867,29580,,,
,,,371447,,,,
,,,4756,,,,
